Date,Volume (Pounds),Cumulative Volumne (Pounds),Pounds/Acre,month_sin,month_cos,day_of_year_sin,day_of_year_cos
2013-10-06,0.1921794954029535,0.6575301346610141,120.14285714285714,-0.8660254037844386,0.5000000000000001,-0.9959189961471792,0.0902516100310407
2013-10-13,0.18295410372470117,0.6700449122027612,133.5,-0.8660254037844386,0.5000000000000001,-0.9778483415056568,0.20931464596304888
2013-10-20,0.17331487353388722,0.6819003286312246,126.5,-0.8660254037844386,0.5000000000000001,-0.9455963874271428,0.3253420847119795
2013-10-27,0.18055569509027553,0.6942510456249821,131.66666666666666,-0.8660254037844386,0.5000000000000001,-0.8996308696522434,0.4366512319560638
2013-11-03,0.0874070602164016,0.7002300310203158,95.5,-0.5000000000000004,0.8660254037844384,-0.8406184056344783,0.5416278206559811
2013-11-10,0.0,0.7002300310203158,0.0,-0.5000000000000004,0.8660254037844384,-0.7694148268839381,0.6387494220515268
2013-11-17,0.0,0.7002300310203158,0.0,-0.5000000000000004,0.8660254037844384,-0.6870527672236675,0.726607524768565
2013-11-24,0.0,0.7002300310203158,0.0,-0.5000000000000004,0.8660254037844384,-0.594726686960764,0.8039279618328208
2013-12-01,0.0,0.7002300310203158,0.0,-2.4492935982947064e-16,1.0,-0.4937755501599774,0.8695893893466109
2013-12-08,0.0,0.7002300310203158,0.0,-2.4492935982947064e-16,1.0,-0.38566340624360745,0.9226395488404875
2013-12-15,0.0,0.7002300310203158,0.0,-2.4492935982947064e-16,1.0,-0.27195815753410524,0.9623090774541487
2013-12-22,0.0,0.7002300310203158,0.0,-2.4492935982947064e-16,1.0,-0.154308820664281,0.9880226656636976
2013-12-29,0.0,0.7002300310203158,0.0,-2.4492935982947064e-16,1.0,-0.034421611622745804,0.9994074007397048
2014-01-05,0.0,0.7002300310203158,0.0,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078
2014-01-12,0.0,0.7002300310203158,0.0,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153
2014-01-19,0.0,0.7002300310203158,0.0,0.49999999999999994,0.8660254037844387,0.3212696616923644,0.9469877530760753
2014-01-26,0.0,0.7002300310203158,0.0,0.49999999999999994,0.8660254037844387,0.4327755925504312,0.901501684131884
2014-02-02,0.0,0.7002300310203158,0.0,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828
2014-02-09,0.0,0.7002300310203158,0.0,0.8660254037844386,0.5000000000000001,0.6354323008901774,0.7721565844991642
2014-02-16,0.0,0.7002300310203158,0.0,0.8660254037844386,0.5000000000000001,0.7236440382959124,0.6901733882429719
2014-02-23,0.0,0.7002300310203158,0.0,0.8660254037844386,0.5000000000000001,0.8013610881746766,0.5981809144059164
2014-03-02,0.0,0.7002300310203158,0.0,1.0,6.123233995736766e-17,0.8674563547295968,0.49751328890718066
2014-03-09,0.0509512103327478,0.7002300310203158,35.5,1.0,6.123233995736766e-17,0.9209712877166346,0.38963044953078796
2014-03-16,0.16484296934349213,0.7002300310203158,114.33333333333333,1.0,6.123233995736766e-17,0.9611297838723007,0.27609697309746883
2014-03-23,0.23240568075469306,0.7002300310203158,161.16666666666666,1.0,6.123233995736766e-17,0.9873494423939864,0.15855938510313478
2014-03-30,0.39047672960154806,0.7002300310203158,231.85714285714286,1.0,6.123233995736766e-17,0.9992500112396835,0.03872228089217446
2014-04-06,0.2584359686332819,0.7002300310203158,179.16666666666666,0.8660254037844387,-0.49999999999999983,0.9966589017541702,-0.08167639533042241
2014-04-13,0.42710530200164915,0.7002300310203158,296.0,0.8660254037844387,-0.49999999999999983,0.9796136916454901,-0.20089055513063506
2014-04-20,0.5080536220336743,0.7002300310203158,352.1666666666667,0.8660254037844387,-0.49999999999999983,0.9483615800121715,-0.3171912885891061
2014-04-27,0.6579926088673499,0.7002300310203158,456.1666666666667,0.8660254037844387,-0.49999999999999983,0.9033558023246845,-0.4288919379124835
2014-05-04,0.6529001926609546,0.7002300310203158,388.14285714285717,0.49999999999999994,-0.8660254037844387,0.8452490573530633,-0.5343725582809787
2014-05-11,0.6778757912584632,0.7002300310203158,402.85714285714283,0.49999999999999994,-0.8660254037844387,0.7748840413670407,-0.6321034111873487
2014-05-18,0.6672862008233492,0.7002300310203158,462.8333333333333,0.49999999999999994,-0.8660254037844387,0.6932812268869777,-0.7206671495538609
2014-05-25,0.6300272105584076,0.7002300310203158,374.2857142857143,0.49999999999999994,-0.8660254037844387,0.6016240632249226,-0.7987793728863649
2014-06-01,0.4953824741128747,0.7002300310203158,343.5,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
2014-06-08,0.3595308052733305,0.7002300310203158,213.57142857142858,1.2246467991473532e-16,-1.0,0.39359027665646673,-0.9192859697186104
